Date,Buying_price,Selling_price
2024-07-02 00:00:02,74980000,76980000
2024-07-03 00:00:02,74980000,76980000
2024-07-04 00:00:02,74980000,76980000
2024-07-05 00:00:02,74980000,76980000
2024-07-06 00:00:02,74980000,76980000
2024-07-07 00:00:03,74980000,76980000
2024-07-08 00:00:03,74980000,76980000
2024-07-09 00:00:02,74980000,76980000
2024-07-10 00:00:02,74980000,76980000
2024-07-11 00:00:02,74980000,76980000
2024-07-12 00:00:02,74980000,76980000
2024-07-12 08:54:01,75480000,76980000
2024-07-13 00:00:03,75480000,76980000
2024-07-14 00:00:02,75480000,76980000
2024-07-15 00:00:03,75480000,76980000
2024-07-16 00:00:02,75480000,76980000
2024-07-17 00:00:02,75480000,76980000
2024-07-17 09:12:02,75980000,76980000
2024-07-18 00:00:02,75980000,76980000
2024-07-18 08:48:01,78500000,80000000
2024-07-19 00:00:02,78500000,80000000
2024-07-20 00:00:02,78500000,80000000
2024-07-20 08:26:01,78000000,80000000
2024-07-21 00:00:02,78000000,80000000
2024-07-22 00:00:02,78000000,80000000
2024-07-23 00:00:03,78000000,80000000
2024-07-23 08:00:02,77500000,79500000
2024-07-24 00:00:02,77500000,79500000
2024-07-25 00:00:03,77500000,79500000
2024-07-26 00:00:02,77500000,79500000
2024-07-27 00:00:03,77500000,79500000
2024-07-28 00:00:02,77500000,79500000
2024-07-29 00:00:03,77500000,79500000
2024-07-30 00:00:02,77500000,79500000
2024-07-30 08:16:01,77000000,79000000
2024-07-31 00:00:03,77000000,79000000
2024-08-01 00:00:07,77000000,79000000
2024-08-01 08:22:06,77800000,79800000
2024-08-02 00:00:02,77800000,79800000
2024-08-02 09:50:01,78300000,79800000
2024-08-03 00:02:02,78300000,79800000
2024-08-04 00:00:02,78300000,79800000
2024-08-05 00:00:02,78300000,79800000
2024-08-06 00:00:03,78300000,79800000
2024-08-06 08:00:02,77000000,79000000
2024-08-07 00:00:02,77000000,79000000
2024-08-08 00:00:02,77000000,79000000
2024-08-08 08:02:02,76500000,78500000
2024-08-09 00:00:02,76500000,78500000
2024-08-10 00:00:02,76500000,78500000
2024-08-11 00:00:02,76500000,78500000
2024-08-12 00:00:03,76500000,78500000
2024-08-13 00:00:03,76500000,78500000
2024-08-13 07:54:03,78000000,80000000
2024-08-14 00:00:08,78000000,80000000
2024-08-15 00:00:02,78000000,80000000
2024-08-16 00:00:02,78000000,80000000
2024-08-17 00:00:02,78000000,80000000
2024-08-18 00:00:02,78000000,80000000
2024-08-19 00:00:02,78000000,80000000
2024-08-20 00:00:03,78000000,80000000
2024-08-20 08:12:02,79000000,81000000
2024-08-21 00:00:03,79000000,81000000
2024-08-22 00:00:03,79000000,81000000
2024-08-23 00:00:02,79000000,81000000
2024-08-24 00:00:03,79000000,81000000
2024-08-25 00:00:02,79000000,81000000
2024-08-26 00:02:06,79000000,81000000
2024-08-27 00:00:02,79000000,81000000
2024-08-28 00:02:01,79000000,81000000
2024-08-29 00:00:03,79000000,81000000
2024-08-30 00:00:02,79000000,81000000
2024-08-31 00:00:03,79000000,81000000
2024-09-01 00:00:02,79000000,81000000
2024-09-02 00:00:02,79000000,81000000
2024-09-03 00:00:02,79000000,81000000
2024-09-04 00:00:02,79000000,81000000
2024-09-05 00:00:02,79000000,81000000
2024-09-05 08:14:02,78500000,80500000
2024-09-06 00:00:03,78500000,80500000
2024-09-07 19:26:01,78500000,80500000
2024-09-08 00:00:02,78500000,80500000
2024-09-09 00:00:02,78500000,80500000
